x,y,z,Rx,Ry,Rz
18,14,42,90,0,30
18,14,41,90,0,30
18,14,40,90,0,30
18,14,39,90,0,30
18,14,40,90,0,30
18,14,41,90,0,30
18,15,42,90,0,30
18,15,43,90,0,30
18,15,44,90,0,30
18,15,45,90,0,30
18,14,46,90,0,30
19,13,47,90,0,30
19,13,46,90,0,30
19,13,45,90,0,30
19,14,44,90,0,30
19,15,44,90,0,30
19,14,43,90,0,30
19,14,42,90,0,30
19,14,41,90,0,30
19,13,41,90,0,30
19,12,41,90,0,30
19,11,41,90,0,30
19,10,41,90,0,30
19,9,41,90,0,30
19,8,41,90,0,30
19,7,41,90,0,30
19,6,41,90,0,30
19,5,41,90,0,30
19,4,41,90,0,30
19,3,41,90,0,30
19,2,41,90,0,30
